time	V(a)
1.63332e-03	8.71227e+01
1.63332e-03	1.74026e+01
1.63332e-03	1.45840e+01
1.63332e-03	1.04754e+01
1.63332e-03	3.80173e+00
1.63332e-03	7.61309e-01
1.63332e-03	-7.49124e-01
1.63586e-03	-8.02976e-01
1.83028e-03	-8.19048e-01
1.83028e-03	9.78287e+00
1.83028e-03	6.59182e+01
1.83028e-03	1.70875e+02
1.83028e-03	2.76222e+02
1.83028e-03	2.84997e+02
1.83028e-03	2.94853e+02
1.83028e-03	3.00256e+02
1.83028e-03	3.02444e+02
1.83028e-03	3.03726e+02
1.83029e-03	3.06299e+02
1.83029e-03	3.06838e+02
1.83029e-03	3.07279e+02
1.83031e-03	3.07530e+02
1.87306e-03	3.07313e+02
1.87307e-03	3.07540e+02
1.87307e-03	3.07183e+02
1.87308e-03	3.06792e+02
1.87308e-03	3.03007e+02
1.87308e-03	3.02696e+02
1.87308e-03	2.87144e+02
1.87308e-03	2.58844e+02
1.87308e-03	2.19692e+02
1.87309e-03	1.75776e+02
1.87309e-03	1.28369e+02
1.87309e-03	7.23627e+01
1.87309e-03	2.53829e+01
1.87309e-03	6.75157e+00
1.87309e-03	1.20173e+00
1.87309e-03	-4.74908e-01
1.87309e-03	-7.50069e-01
3.11055e-03	-6.17404e-01
3.31018e-03	-6.86900e-01
3.35746e-03	-6.05151e-01
3.35751e-03	-5.71289e-01
3.55709e-03	-5.84467e-01
3.55725e-03	-6.74867e-01
3.60437e-03	-5.75119e-01
3.60437e-03	-3.50645e-01
3.60473e-03	-4.68330e-01
3.80400e-03	-3.96353e-01
3.80401e-03	-6.02114e-01
3.85128e-03	-5.68425e-01
3.85128e-03	-1.84409e-01
3.85138e-03	-3.62724e-01
4.05092e-03	-3.50609e-01
4.05092e-03	-5.81806e-01
4.09819e-03	-6.06358e-01
4.09819e-03	-3.64991e-01
4.09819e-03	2.07482e-01
4.09819e-03	5.31450e-02
4.09820e-03	-1.62957e-01
4.09865e-03	-2.80554e-01
4.29784e-03	-3.27112e-01
4.29784e-03	-5.57520e-01
4.29785e-03	-5.60339e-01
4.29791e-03	-6.39086e-01
4.34510e-03	-5.94105e-01
4.34510e-03	-1.77062e-01
4.34510e-03	6.25252e-01
4.34510e-03	6.07422e-01
4.34511e-03	6.27113e-02
4.34512e-03	-1.38100e-01
4.54475e-03	-2.48905e-01
4.54475e-03	-5.41630e-01
4.54476e-03	-5.06320e-01
4.54476e-03	-6.59757e-01
4.59201e-03	-5.77236e-01
4.59201e-03	2.18722e-01
4.59201e-03	7.73631e-01
4.59202e-03	1.07788e+00
4.59202e-03	8.83515e-01
4.59202e-03	1.39040e-01
4.59203e-03	-6.18706e-02
4.59306e-03	-1.67065e-01
4.79162e-03	-1.97539e-01
4.79162e-03	-5.15287e-01
4.79163e-03	-4.10501e-01
4.79163e-03	-6.48236e-01
4.83892e-03	-5.67008e-01
4.83892e-03	-3.82649e-01
4.83893e-03	1.18477e+00
4.83893e-03	1.23872e+00
