time	V(a)
1.46651e-02	3.00460e+02
1.46651e-02	3.00589e+02
1.46651e-02	3.00455e+02
1.46651e-02	2.99455e+02
1.46651e-02	2.96764e+02
1.46651e-02	2.92197e+02
1.46651e-02	2.81002e+02
1.46651e-02	2.74096e+02
1.46651e-02	2.66387e+02
1.46651e-02	2.61917e+02
1.46651e-02	2.59387e+02
1.46651e-02	2.54377e+02
1.46651e-02	2.49929e+02
1.46651e-02	2.42199e+02
1.46651e-02	2.30459e+02
1.46651e-02	2.27571e+02
1.46651e-02	5.96158e+01
1.46651e-02	4.22687e+01
1.46651e-02	1.83240e+01
1.46651e-02	8.89667e+00
1.46651e-02	2.60160e+00
1.46651e-02	2.11361e+00
1.46651e-02	3.50926e-01
1.46651e-02	-7.91007e-01
1.46651e-02	-1.02808e+00
1.46687e-02	-1.02109e+00
1.46688e-02	4.35632e-01
1.46688e-02	1.97980e+01
1.46688e-02	9.47544e+01
1.46688e-02	2.22631e+02
1.46688e-02	2.38341e+02
1.46688e-02	2.61863e+02
1.46688e-02	2.77775e+02
1.46688e-02	2.88272e+02
1.46688e-02	2.92683e+02
1.46688e-02	2.94089e+02
1.46688e-02	2.94845e+02
1.46688e-02	2.95574e+02
1.46688e-02	2.98850e+02
1.46688e-02	2.99613e+02
1.46688e-02	3.00065e+02
1.46688e-02	3.00366e+02
1.59845e-02	3.00059e+02
1.59845e-02	3.00188e+02
1.59845e-02	3.00052e+02
1.59845e-02	2.99014e+02
1.59845e-02	2.96241e+02
1.59845e-02	2.91543e+02
1.59845e-02	2.80223e+02
1.59845e-02	2.73247e+02
1.59845e-02	2.65497e+02
1.59845e-02	2.61200e+02
1.59845e-02	2.58700e+02
1.59845e-02	2.53236e+02
1.59845e-02	2.44919e+02
1.59845e-02	2.28711e+02
1.59845e-02	1.95996e+02
1.59845e-02	1.55814e+02
1.59845e-02	1.16747e+02
1.59845e-02	6.81059e+01
1.59845e-02	3.46870e+01
1.59845e-02	1.77955e+01
1.59845e-02	8.68355e+00
1.59845e-02	2.44153e+00
1.59845e-02	7.35135e-01
1.59845e-02	-4.10344e-01
1.59845e-02	-7.47896e-01
1.59845e-02	-9.94659e-01
1.59851e-02	-1.10969e+00
1.60172e-02	-1.07496e+00
1.60172e-02	3.46287e-01
1.60172e-02	1.21500e+01
1.60172e-02	7.45492e+01
1.60172e-02	2.02960e+02
1.60172e-02	2.20438e+02
1.60172e-02	2.47928e+02
1.60172e-02	2.70283e+02
1.60172e-02	2.84538e+02
1.60172e-02	2.93057e+02
1.60172e-02	2.94463e+02
1.60172e-02	2.95151e+02
1.60172e-02	2.98809e+02
1.60172e-02	2.99532e+02
1.60172e-02	3.00004e+02
1.60172e-02	3.00284e+02
1.72535e-02	3.00010e+02
1.72535e-02	2.99634e+02
1.72535e-02	2.98121e+02
1.72535e-02	2.93888e+02
1.72535e-02	2.88397e+02
1.72535e-02	2.82310e+02
1.72535e-02	2.75554e+02
1.72535e-02	2.70148e+02
1.72535e-02	2.65926e+02
1.72535e-02	2.62778e+02
1.72535e-02	2.59961e+02
1.72535e-02	2.57662e+02
1.72535e-02	2.53723e+02
1.72535e-02	2.51548e+02
1.72535e-02	2.48787e+02
1.72535e-02	2.42487e+02
1.72535e-02	2.29420e+02
1.72535e-02	2.08602e+02
1.72535e-02	1.78556e+02
1.72535e-02	1.44424e+02
1.72535e-02	9.82994e+01
1.72535e-02	3.31186e+01
1.72535e-02	1.39170e+01
1.72535e-02	6.00930e+00
1.72535e-02	1.91260e+00
1.72535e-02	5.81521e-01
1.72535e-02	-4.30358e-01
1.72535e-02	-8.00576e-01
1.72535e-02	-1.02108e+00
1.74258e-02	-1.03740e+00
1.74258e-02	-3.96797e-01
1.74258e-02	7.03234e-01
1.74258e-02	9.40038e-01
1.74258e-02	2.11474e+00
1.74258e-02	5.34874e+00
1.74258e-02	7.92038e+00
1.74258e-02	1.24322e+01
1.74258e-02	1.31254e+02
1.74258e-02	2.54521e+02
1.74258e-02	2.67024e+02
1.74258e-02	2.82748e+02
1.74258e-02	2.90591e+02
1.74258e-02	2.94207e+02
1.74258e-02	2.95435e+02
1.74258e-02	2.96029e+02
1.74258e-02	2.96577e+02
1.74258e-02	3.00314e+02
1.74258e-02	3.00924e+02
1.74258e-02	3.01326e+02
1.74259e-02	3.01563e+02
