time	V(a)
3.08818e-02	1.21890e+02
3.08818e-02	2.47592e+02
3.08818e-02	2.60922e+02
3.08818e-02	2.72574e+02
3.08818e-02	2.82497e+02
3.08818e-02	2.96083e+02
3.08818e-02	3.01778e+02
3.08818e-02	3.02943e+02
3.08818e-02	3.05432e+02
3.08818e-02	3.05880e+02
3.08818e-02	3.06219e+02
3.08818e-02	3.06481e+02
3.12084e-02	3.04625e+02
3.16422e-02	3.02902e+02
3.19118e-02	3.02218e+02
3.19118e-02	3.02336e+02
3.19118e-02	3.02140e+02
3.19118e-02	3.01096e+02
3.19118e-02	2.98142e+02
3.19118e-02	2.93630e+02
3.19118e-02	2.87386e+02
3.19118e-02	2.81852e+02
3.19118e-02	2.75166e+02
3.19118e-02	2.67721e+02
3.19118e-02	2.63765e+02
3.19118e-02	2.61325e+02
3.19118e-02	2.56822e+02
3.19118e-02	2.54919e+02
3.19118e-02	2.52463e+02
3.19118e-02	2.47161e+02
3.19118e-02	2.37433e+02
3.19118e-02	2.17871e+02
3.19118e-02	1.89931e+02
3.19118e-02	1.15594e+02
3.19118e-02	5.53891e+01
3.19118e-02	2.78257e+01
3.19118e-02	1.48581e+01
3.19118e-02	7.14715e+00
3.19118e-02	2.32492e+00
3.19118e-02	9.03620e-01
3.19118e-02	-2.09353e-01
3.19118e-02	-7.97408e-01
3.19119e-02	-9.76361e-01
3.20711e-02	-9.46582e-01
3.20711e-02	-2.67720e-01
3.20711e-02	7.35939e+00
3.20711e-02	6.15274e+01
3.20711e-02	1.71474e+02
3.20711e-02	2.79099e+02
3.20711e-02	2.86939e+02
3.20711e-02	2.94178e+02
3.20711e-02	2.96503e+02
3.20711e-02	2.97485e+02
3.20711e-02	2.98020e+02
3.20711e-02	2.99224e+02
3.20712e-02	3.02252e+02
3.20712e-02	3.02785e+02
3.20712e-02	3.03136e+02
3.20713e-02	3.03318e+02
3.25421e-02	3.01981e+02
3.32080e-02	3.00920e+02
3.42584e-02	3.00209e+02
3.67618e-02	2.99874e+02
3.73232e-02	2.99939e+02
3.73232e-02	2.99800e+02
3.73232e-02	2.98891e+02
3.73232e-02	2.96331e+02
3.73232e-02	2.91734e+02
3.73232e-02	2.80321e+02
3.73232e-02	2.75337e+02
3.73232e-02	2.70092e+02
3.73232e-02	2.65424e+02
3.73232e-02	2.62255e+02
3.73232e-02	2.59472e+02
3.73232e-02	2.56966e+02
3.73232e-02	2.52826e+02
3.73232e-02	2.50003e+02
3.73232e-02	2.43729e+02
3.73232e-02	2.32792e+02
3.73232e-02	2.11132e+02
3.73232e-02	1.79066e+02
3.73232e-02	1.46137e+02
