time	V(a)
1.45982e-02	1.95302e+01
1.45982e-02	1.00443e+01
1.45982e-02	3.05320e+00
1.45982e-02	1.18577e+00
1.45982e-02	-2.53285e-01
1.45982e-02	-7.02932e-01
1.45982e-02	-9.53645e-01
1.45984e-02	-1.08048e+00
1.47345e-02	-9.85338e-01
1.47345e-02	-2.79839e-01
1.47345e-02	9.81050e-01
1.47345e-02	1.91128e+00
1.47345e-02	3.93324e+00
1.47345e-02	5.40841e+00
1.47345e-02	8.59966e+00
1.47345e-02	1.44381e+02
1.47345e-02	2.66497e+02
1.47345e-02	2.77191e+02
1.47345e-02	2.88597e+02
1.47345e-02	2.93670e+02
1.47345e-02	2.95417e+02
1.47345e-02	2.96225e+02
1.47345e-02	2.96875e+02
1.47346e-02	3.00345e+02
1.47346e-02	3.01193e+02
1.47346e-02	3.01655e+02
1.47346e-02	3.01940e+02
1.55286e-02	3.00793e+02
1.59225e-02	3.00544e+02
1.59225e-02	3.00585e+02
1.59225e-02	3.00294e+02
1.59225e-02	2.98967e+02
1.59225e-02	2.95224e+02
1.59225e-02	2.89725e+02
1.59225e-02	2.83347e+02
1.59225e-02	2.77053e+02
1.59225e-02	2.71786e+02
1.59225e-02	2.65131e+02
1.59225e-02	2.61520e+02
1.59225e-02	2.59131e+02
1.59225e-02	2.54583e+02
1.59225e-02	2.52309e+02
1.59225e-02	2.49620e+02
1.59225e-02	2.43539e+02
1.59225e-02	2.31254e+02
1.59225e-02	2.11221e+02
1.59225e-02	1.81204e+02
1.59225e-02	1.47125e+02
1.59225e-02	1.02375e+02
1.59225e-02	3.76805e+01
1.59225e-02	1.67931e+01
1.59225e-02	8.10568e+00
1.59225e-02	2.19015e+00
1.59225e-02	5.92567e-01
1.59225e-02	-4.49808e-01
1.59225e-02	-7.99805e-01
1.59225e-02	-1.00974e+00
1.60822e-02	-9.85732e-01
1.60822e-02	-2.65888e-01
1.60822e-02	1.11209e+00
1.60822e-02	2.57542e+00
1.60822e-02	1.20674e+02
1.60822e-02	2.47589e+02
1.60822e-02	2.61171e+02
1.60822e-02	2.79489e+02
1.60822e-02	2.88682e+02
1.60822e-02	2.93681e+02
1.60822e-02	2.95425e+02
1.60822e-02	2.96194e+02
1.60822e-02	2.96767e+02
1.60822e-02	3.00435e+02
1.60822e-02	3.01173e+02
1.60822e-02	3.01608e+02
1.60823e-02	3.01864e+02
1.68609e-02	3.00762e+02
1.72055e-02	3.00554e+02
1.72055e-02	3.00693e+02
1.72055e-02	3.00519e+02
1.72055e-02	2.99350e+02
1.72055e-02	2.96309e+02
1.72055e-02	2.91397e+02
1.72055e-02	2.85749e+02
