time	V(tri)
3.86421e-02	4.99610e+00
3.87661e-02	2.56313e-02
3.88890e-02	4.99557e+00
3.90130e-02	2.63982e-02
3.91360e-02	4.99332e+00
3.92599e-02	2.39663e-02
3.93828e-02	4.99826e+00
3.95070e-02	3.31622e-02
3.96304e-02	4.96753e+00
3.97539e-02	3.30786e-02
3.98772e-02	4.97473e+00
4.00012e-02	4.72387e-02
4.01245e-02	4.95952e+00
4.02479e-02	4.15875e-02
4.03704e-02	4.99938e+00
4.04945e-02	2.86259e-02
4.06173e-02	4.99779e+00
4.07414e-02	2.47981e-02
4.08643e-02	4.99701e+00
4.09883e-02	2.76843e-02
4.11112e-02	4.99620e+00
4.12352e-02	2.47716e-02
4.13581e-02	4.99850e+00
4.14822e-02	2.93127e-02
4.16050e-02	4.99839e+00
4.17291e-02	2.88838e-02
4.18519e-02	4.99626e+00
4.19758e-02	2.04705e-02
4.20988e-02	4.99832e+00
4.22229e-02	2.92978e-02
4.23457e-02	4.99887e+00
4.24696e-02	1.92795e-02
4.25926e-02	4.99827e+00
4.27167e-02	2.62825e-02
4.28395e-02	4.99918e+00
4.29641e-02	4.71900e-02
4.30865e-02	4.99812e+00
4.32111e-02	5.00492e-02
4.33342e-02	4.96684e+00
4.34576e-02	3.38326e-02
4.35809e-02	4.97362e+00
4.37046e-02	3.78303e-02
4.38284e-02	4.95073e+00
4.39514e-02	3.10413e-02
4.40742e-02	4.99687e+00
4.41986e-02	4.37685e-02
4.43211e-02	4.99683e+00
4.44449e-02	2.02442e-02
4.45689e-02	4.95872e+00
4.46923e-02	3.83250e-02
4.48148e-02	4.99917e+00
4.49391e-02	3.23785e-02
4.50618e-02	4.99713e+00
4.51861e-02	3.63192e-02
4.53099e-02	4.94990e+00
4.54322e-02	4.49045e-03
4.55556e-02	4.99630e+00
4.56802e-02	4.83063e-02
4.58025e-02	4.99875e+00
4.59270e-02	4.45622e-02
4.60494e-02	4.99750e+00
4.61736e-02	3.22851e-02
4.62970e-02	4.97251e+00
4.64206e-02	3.31875e-02
4.65440e-02	4.96726e+00
4.66674e-02	2.91735e-02
4.67911e-02	4.95927e+00
4.69145e-02	3.91408e-02
4.70370e-02	4.99956e+00
4.71617e-02	4.80432e-02
4.72840e-02	4.99890e+00
4.74081e-02	2.87049e-02
4.75309e-02	4.99681e+00
4.76556e-02	4.97790e-02
4.77778e-02	4.99768e+00
4.79019e-02	2.80889e-02
4.80247e-02	4.99848e+00
4.81493e-02	4.46265e-02
