time	V(A,B)
1.21659e-02	9.98532e+00
1.21659e-02	6.31899e+01
1.21659e-02	1.68731e+02
1.21659e-02	2.79660e+02
1.21659e-02	2.88400e+02
1.21659e-02	2.96533e+02
1.21659e-02	2.98968e+02
1.21659e-02	2.99913e+02
1.21659e-02	3.00479e+02
1.21659e-02	3.01037e+02
1.21659e-02	3.04462e+02
1.21659e-02	3.05186e+02
1.21659e-02	3.05546e+02
1.21659e-02	3.05741e+02
1.22441e-02	3.05279e+02
1.22441e-02	3.04781e+02
1.22441e-02	2.99616e+02
1.22441e-02	2.56043e+02
1.22441e-02	1.53758e+02
1.22441e-02	3.37906e+01
1.22441e-02	2.33043e+01
1.22441e-02	1.22607e+01
1.22441e-02	7.96811e+00
1.22441e-02	6.40466e+00
1.22441e-02	5.78467e+00
1.22441e-02	5.19220e+00
1.22441e-02	1.75650e+00
1.22441e-02	8.66516e-01
1.22441e-02	4.40521e-01
1.22442e-02	1.85089e-01
1.30260e-02	3.16772e-02
1.30260e-02	-1.62567e-01
1.30260e-02	6.12085e+00
1.30260e-02	1.58668e+01
1.30260e-02	2.61151e+01
1.30260e-02	3.43512e+01
1.30260e-02	3.83636e+01
1.30260e-02	4.19205e+01
1.30260e-02	4.48862e+01
1.30260e-02	4.83898e+01
1.30260e-02	5.32427e+01
1.30260e-02	6.34182e+01
1.30260e-02	8.58982e+01
1.30260e-02	1.15746e+02
1.30260e-02	1.51624e+02
1.30260e-02	1.92181e+02
1.30260e-02	2.56849e+02
1.30260e-02	2.82082e+02
1.30260e-02	3.02716e+02
1.30260e-02	3.02883e+02
1.32266e-02	3.02542e+02
1.32266e-02	3.02644e+02
1.32266e-02	3.02355e+02
1.32266e-02	3.01031e+02
1.32266e-02	2.97187e+02
1.32266e-02	2.92099e+02
1.32266e-02	2.86250e+02
1.32266e-02	2.80207e+02
1.32266e-02	2.73698e+02
1.32266e-02	2.66307e+02
1.32266e-02	2.63027e+02
1.32266e-02	2.60756e+02
1.32266e-02	2.56283e+02
1.32266e-02	2.52583e+02
1.32266e-02	2.46385e+02
1.32266e-02	2.34249e+02
1.32266e-02	2.10294e+02
1.32266e-02	1.77418e+02
1.32266e-02	1.44275e+02
1.32266e-02	9.75157e+01
1.32266e-02	3.86771e+01
1.32266e-02	1.85280e+01
1.32266e-02	9.86207e+00
1.32266e-02	3.79853e+00
1.32266e-02	2.12453e+00
1.32266e-02	1.17849e+00
1.32266e-02	4.64796e-01
1.32266e-02	1.72155e-01
1.32266e-02	-1.05716e-02
1.34320e-02	-7.67314e-02
1.34320e-02	8.77684e-01
1.34320e-02	1.60399e+01
1.34320e-02	8.30929e+01
1.34320e-02	2.09575e+02
1.34320e-02	2.26602e+02
1.34320e-02	2.54622e+02
1.34320e-02	2.74824e+02
1.34320e-02	2.88806e+02
1.34320e-02	2.96555e+02
1.34320e-02	2.97188e+02
1.34320e-02	2.97678e+02
1.34320e-02	2.98294e+02
1.34320e-02	2.98783e+02
1.34320e-02	2.99962e+02
1.34320e-02	3.02913e+02
1.34320e-02	3.03461e+02
1.34320e-02	3.03825e+02
1.34321e-02	3.04012e+02
1.36974e-02	3.03219e+02
1.36974e-02	3.02851e+02
1.36974e-02	2.94546e+02
1.36974e-02	2.43644e+02
1.36974e-02	1.38675e+02
1.36974e-02	2.48368e+01
1.36974e-02	1.44983e+01
1.36974e-02	5.11734e+00
1.36974e-02	1.04730e+00
1.36974e-02	4.23584e-02
1.36974e-02	-2.54868e+00
1.36974e-02	-3.07251e+00
1.36974e-02	-3.38293e+00
1.36976e-02	-3.52271e+00
1.42256e-02	-2.04224e+00
1.42573e-02	-2.07220e+00
1.42573e-02	-2.19955e+00
1.42573e-02	-2.06265e+00
1.42573e-02	-1.25247e+00
1.42573e-02	9.32556e-01
1.42573e-02	4.71317e+00
1.42573e-02	1.46094e+01
1.42573e-02	2.19853e+01
1.42573e-02	2.98539e+01
1.42573e-02	3.53238e+01
1.42573e-02	3.80755e+01
1.42573e-02	4.06315e+01
1.42573e-02	4.51657e+01
1.42573e-02	5.15314e+01
1.42573e-02	6.30124e+01
1.42573e-02	8.54264e+01
1.42573e-02	1.17446e+02
1.42573e-02	1.56659e+02
1.42573e-02	1.94939e+02
1.42573e-02	2.64494e+02
1.42573e-02	2.77153e+02
1.42573e-02	2.87175e+02
1.42573e-02	3.02028e+02
1.42573e-02	3.02192e+02
1.45981e-02	3.01758e+02
1.45982e-02	3.01940e+02
1.45982e-02	3.01477e+02
1.45982e-02	2.99971e+02
1.45982e-02	2.96870e+02
1.45982e-02	2.92666e+02
1.45982e-02	2.86743e+02
1.45982e-02	2.80221e+02
1.45982e-02	2.72234e+02
1.45982e-02	2.64979e+02
1.45982e-02	2.61752e+02
1.45982e-02	2.59137e+02
1.45982e-02	2.53811e+02
1.45982e-02	2.50659e+02
1.45982e-02	2.43586e+02
1.45982e-02	2.28779e+02
1.45982e-02	2.05962e+02
1.45982e-02	1.74268e+02
1.45982e-02	1.39053e+02
1.45982e-02	8.87338e+01
1.45982e-02	4.04918e+01
1.45982e-02	2.04320e+01
1.45982e-02	1.09461e+01
1.45982e-02	3.95502e+00
1.45982e-02	2.08759e+00
1.45982e-02	6.48536e-01
1.45982e-02	1.98889e-01
1.45982e-02	-5.18243e-02
1.45984e-02	-1.78704e-01
1.47345e-02	-1.13767e-01
1.47345e-02	5.91731e-01
1.47345e-02	1.85262e+00
1.47345e-02	2.78285e+00
1.47345e-02	4.80481e+00
1.47345e-02	6.27998e+00
1.47345e-02	9.47123e+00
1.47345e-02	1.45253e+02
1.47345e-02	2.67368e+02
1.47345e-02	2.78063e+02
1.47345e-02	2.89469e+02
1.47345e-02	2.94541e+02
1.47345e-02	2.96289e+02
1.47345e-02	2.97096e+02
1.47345e-02	2.97747e+02
1.47346e-02	3.01217e+02
1.47346e-02	3.02065e+02
1.47346e-02	3.02527e+02
1.47346e-02	3.02812e+02
1.51439e-02	3.02036e+02
1.51439e-02	3.01671e+02
1.51439e-02	2.68189e+02
1.51439e-02	1.82760e+02
1.51439e-02	5.64659e+01
1.51439e-02	4.19362e+01
1.51439e-02	1.89830e+01
1.51439e-02	1.73084e+01
1.51439e-02	1.46659e+01
1.51439e-02	1.16181e+01
1.51439e-02	1.96692e+00
1.51439e-02	-1.58420e+00
1.51439e-02	-2.56900e+00
1.51439e-02	-5.17407e+00
1.51439e-02	-5.61957e+00
1.51439e-02	-5.88361e+00
